Title,Date,Time,Duration,Tags,url,m3u8
Consensus Opening Party: Rooftop Revelry f/ ZHU,,,,PARTIES,https://consensus-hongkong2025.coindesk.com/agenda/event/-rooftop-revelry-107,
Algorhythm,,,,OFFICIAL PARTNER EVENT,https://consensus-hongkong2025.coindesk.com/agenda/event/-algorhythm-122,
CoinDesk Live,,,,無標籤,https://consensus-hongkong2025.coindesk.com/agenda/event/-coindesk-live-128,
Welcome Remarks,,,,無標籤,https://consensus-hongkong2025.coindesk.com/agenda/event/-welcome-remarks-93,https://cdn.jwplayer.com/manifests/UV7vEKaU.m3u8
Inspiration from DeepSeek Success for Web3AI,,,,無標籤,https://consensus-hongkong2025.coindesk.com/agenda/event/-publicai-sponsored-session-132,https://cdn.jwplayer.com/manifests/oBiAPZTq.m3u8
Opening Keynote,,,,無標籤,https://consensus-hongkong2025.coindesk.com/agenda/event/-opening-keynote-115,https://cdn.jwplayer.com/manifests/HM7s5dlZ.m3u8
Bitcoin: The Basis for a New Financial System?,,,,"BLOCKCHAIN, CRYPTO / WEB3 SOFTWARE",https://consensus-hongkong2025.coindesk.com/agenda/event/-bitcoin-the-basis-for-a-new-financial-systema-14,https://cdn.jwplayer.com/manifests/N07GZmPS.m3u8
Why Sui Will Eat The World,,,,"BUILDERS, BLOCKCHAIN, PROTOCOLS / FOUNDATIONS, SMART CONTRACTS",https://consensus-hongkong2025.coindesk.com/agenda/event/-why-sui-will-eat-the-world-46,https://cdn.jwplayer.com/manifests/jQDFOBlX.m3u8
Welcome To The Web3 Art & Culture Summit,,,,無標籤,https://consensus-hongkong2025.coindesk.com/agenda/event/-welcome-remarks-84,https://cdn.jwplayer.com/manifests/ZuD1ijxF.m3u8
Welcome Remarks,,,,無標籤,https://consensus-hongkong2025.coindesk.com/agenda/event/-welcome-remarks-134,https://cdn.jwplayer.com/manifests/id3dzugI.m3u8
Meetup: Women Are Her3,,,,聚会,https://consensus-hongkong2025.coindesk.com/agenda/event/-meetup-womens-153,
Views from Wall Street to Crypto,,,,"财务, CRYPTO / WEB3 SOFTWARE, INSTITUTIONAL INVESTING",https://consensus-hongkong2025.coindesk.com/agenda/event/-investing-in-digital-assets-macro-panel-33,https://cdn.jwplayer.com/manifests/qmafNQNu.m3u8
Zerocap Announces a 'First' Product in Australia,,,,無標籤,https://consensus-hongkong2025.coindesk.com/agenda/event/-zerocap-announces-a-first-product-in-australia-189,https://cdn.jwplayer.com/manifests/XxHnMbMX.m3u8
A Blockchain Revolution: Splitting by Ultima Chain Opens New Horizons,,,,無標籤,https://consensus-hongkong2025.coindesk.com/agenda/event/-ultima-chain-sponsored-session-110,https://cdn.jwplayer.com/manifests/3kebHN8c.m3u8
EasyA Consensus Hackathon: Opening Ceremony,,,,無標籤,https://consensus-hongkong2025.coindesk.com/agenda/event/-easya-consensus-hackathon-opening-ceremony-176,
